simulation,cooling schedules,MC length,t0,found_distances
0,geometric,100,10,436.9606504
1,geometric,100,10,471.6288518
2,geometric,100,10,452.1961927
3,geometric,100,10,450.3738951
4,geometric,100,10,444.4230074
5,geometric,100,10,459.7283214
6,geometric,100,10,463.9568293
7,geometric,100,10,440.1227446
8,geometric,100,10,465.2739118
9,geometric,100,10,443.3468175
0,geometric,100,100,447.1892798
1,geometric,100,100,481.64096
2,geometric,100,100,452.6726636
3,geometric,100,100,459.5153461
4,geometric,100,100,456.3977194
5,geometric,100,100,463.6054016
6,geometric,100,100,449.8224539
7,geometric,100,100,463.1056173
8,geometric,100,100,436.7478564
9,geometric,100,100,457.3031622
0,geometric,100,500,448.6470606
1,geometric,100,500,455.0034329
2,geometric,100,500,483.2112385
3,geometric,100,500,460.703203
4,geometric,100,500,457.0177655
5,geometric,100,500,463.6251902
6,geometric,100,500,443.6242149
7,geometric,100,500,441.7088054
8,geometric,100,500,458.7902543
9,geometric,100,500,450.2187721
0,geometric,100,1000,477.0161079
1,geometric,100,1000,459.0837148
2,geometric,100,1000,457.3026127
3,geometric,100,1000,469.0909801
4,geometric,100,1000,457.1328706
5,geometric,100,1000,458.9367641
6,geometric,100,1000,449.4400456
7,geometric,100,1000,471.3768637
8,geometric,100,1000,455.4210883
9,geometric,100,1000,438.9351186
0,geometric,100,50,448.3600008
1,geometric,100,50,436.4484616
2,geometric,100,50,456.0139589
3,geometric,100,50,440.7594568
4,geometric,100,50,449.9848889
5,geometric,100,50,476.2759393
6,geometric,100,50,444.8782447
7,geometric,100,50,469.6105485
8,geometric,100,50,449.773716
9,geometric,100,50,454.7055742
