,run,rho,number of servers,number of customers,mean waiting time
0,0,0.9,4,100,0.3306746566104584
1,0,0.9,4,200,0.6199586142024373
2,0,0.9,4,300,0.6505137695593946
3,0,0.9,4,400,0.5991824523292635
4,0,0.9,4,500,0.5685646076421872
5,0,0.9,4,600,0.6898498494155756
6,0,0.9,4,700,0.6769395637148424
7,0,0.9,4,800,0.7147348074624764
8,0,0.9,4,900,0.702191986480885
9,0,0.9,4,1000,0.7862754931810095
10,0,0.9,4,2000,0.8551871409430863
11,0,0.9,4,3000,1.1347982834661308
12,0,0.9,4,4000,1.0969650176752408
13,0,0.9,4,5000,1.0166024174795485
14,0,0.9,4,6000,1.0191445822692198
15,0,0.9,4,7000,1.0056460479062297
16,0,0.9,4,8000,0.9810856377180089
17,0,0.9,4,9000,1.0080767584766832
18,0,0.9,4,10000,0.9919346092022774
19,0,0.9,4,20000,0.9280621421091615
20,0,0.9,4,30000,0.8816407782289793
21,0,0.9,4,40000,0.878298734194924
22,0,0.9,4,50000,0.9740125765199197
23,0,0.9,4,60000,0.990299218506414
24,0,0.9,4,70000,0.9582329607554452
25,0,0.9,4,80000,1.0176970421025544
26,0,0.9,4,90000,0.990452798445756
27,0,0.9,4,100000,0.9763130542154386
28,1,0.9,4,100,0.7196404909843178
29,1,0.9,4,200,0.6186601082635264
30,1,0.9,4,300,0.5056140049222398
31,1,0.9,4,400,0.44243692714412025
32,1,0.9,4,500,0.42007046386240254
33,1,0.9,4,600,0.5931792501345496
34,1,0.9,4,700,0.7591243374683033
35,1,0.9,4,800,0.8603902228647891
36,1,0.9,4,900,0.9040837382846534
37,1,0.9,4,1000,0.908078566813763
38,1,0.9,4,2000,0.6263456755294601
39,1,0.9,4,3000,0.5905395560354609
40,1,0.9,4,4000,0.7264914472025353
41,1,0.9,4,5000,0.805804783506354
42,1,0.9,4,6000,0.8231146855312321
43,1,0.9,4,7000,0.8167577612054524
44,1,0.9,4,8000,0.8761982217864223
45,1,0.9,4,9000,0.8471483235772149
46,1,0.9,4,10000,0.8401973850491253
47,1,0.9,4,20000,0.911682698582004
48,1,0.9,4,30000,0.9421069551401827
49,1,0.9,4,40000,0.8924702286773103
50,1,0.9,4,50000,0.9749524744043768
51,1,0.9,4,60000,0.9630370050718607
52,1,0.9,4,70000,0.9738556471292859
53,1,0.9,4,80000,0.9549986281539231
54,1,0.9,4,90000,0.9535626492339906
55,1,0.9,4,100000,0.9765168529921396
56,2,0.9,4,100,0.12917025889453085
57,2,0.9,4,200,0.224731619382857
58,2,0.9,4,300,0.2520772907200369
59,2,0.9,4,400,0.29985541564310997
60,2,0.9,4,500,0.30985505690855886
61,2,0.9,4,600,0.34379490383138506
62,2,0.9,4,700,0.3178806815013577
63,2,0.9,4,800,0.34583975039858506
64,2,0.9,4,900,0.32921128693746204
65,2,0.9,4,1000,0.3470712709400176
66,2,0.9,4,2000,0.6866700978820479
67,2,0.9,4,3000,0.7434430769463953
68,2,0.9,4,4000,0.7658537945126017
69,2,0.9,4,5000,0.7344076155112771
70,2,0.9,4,6000,1.064862556367958
71,2,0.9,4,7000,1.063084481727846
72,2,0.9,4,8000,1.0541681168871766
73,2,0.9,4,9000,1.0350552622482265
74,2,0.9,4,10000,1.009558644620495
75,2,0.9,4,20000,0.932832759352178
76,2,0.9,4,30000,0.9522736634520244
77,2,0.9,4,40000,1.0173980270933676
78,2,0.9,4,50000,0.9605802349726021
79,2,0.9,4,60000,0.9839904394264538
80,2,0.9,4,70000,0.9907716879000987
81,2,0.9,4,80000,1.0108785907392537
82,2,0.9,4,90000,1.003781964228006
83,2,0.9,4,100000,0.9741396697658725
84,3,0.9,4,100,0.24436091140660607
85,3,0.9,4,200,0.579006796360461
86,3,0.9,4,300,0.8763807562713694
87,3,0.9,4,400,0.760920096575596
88,3,0.9,4,500,0.7147831606267029
89,3,0.9,4,600,0.7233453625944868
90,3,0.9,4,700,0.647706161554227
91,3,0.9,4,800,0.6229579176934394
92,3,0.9,4,900,0.6012808406794429
93,3,0.9,4,1000,0.7047569830303883
94,3,0.9,4,2000,0.9824933666882946
95,3,0.9,4,3000,0.8688147769564527
96,3,0.9,4,4000,0.8473843541717495
97,3,0.9,4,5000,0.8110596794946964
98,3,0.9,4,6000,0.8728531544207581
99,3,0.9,4,7000,0.8354557146518672
100,3,0.9,4,8000,0.8829729136251059
101,3,0.9,4,9000,0.9725223892538153
102,3,0.9,4,10000,1.049767952635767
103,3,0.9,4,20000,0.9941873715321764
104,3,0.9,4,30000,1.0310177805030958
105,3,0.9,4,40000,0.9688725589784201
106,3,0.9,4,50000,0.9985410744502972
107,3,0.9,4,60000,0.9758244858863684
108,3,0.9,4,70000,0.9593476923517257
109,3,0.9,4,80000,0.9815218792130794
110,3,0.9,4,90000,0.9700203636041435
111,3,0.9,4,100000,0.9533942301521281
112,4,0.9,4,100,0.41390103625270513
113,4,0.9,4,200,0.6403853636400979
114,4,0.9,4,300,1.3720694650129415
115,4,0.9,4,400,1.231606790641447
116,4,0.9,4,500,1.2566189162339243
117,4,0.9,4,600,1.4172504395389638
118,4,0.9,4,700,1.2416729486670042
119,4,0.9,4,800,1.11742951691027
120,4,0.9,4,900,1.0737780698125265
121,4,0.9,4,1000,1.1047007523497272
122,4,0.9,4,2000,1.0075134504490082
123,4,0.9,4,3000,0.9249491645696741
124,4,0.9,4,4000,0.877361432479049
125,4,0.9,4,5000,0.8894810900375391
126,4,0.9,4,6000,0.9314696250068853
127,4,0.9,4,7000,0.9034352242018586
128,4,0.9,4,8000,0.9046860715634935
129,4,0.9,4,9000,1.0059192778386297
130,4,0.9,4,10000,1.0368828816662579
131,4,0.9,4,20000,1.0644413559118897
132,4,0.9,4,30000,0.9913627679544542
133,4,0.9,4,40000,1.0802551323885017
134,4,0.9,4,50000,1.0326699393357637
135,4,0.9,4,60000,1.030305147076191
136,4,0.9,4,70000,1.0108047218625156
137,4,0.9,4,80000,1.040971111213297
138,4,0.9,4,90000,1.0563679064751152
139,4,0.9,4,100000,1.044891469343483
140,5,0.9,4,100,1.033803152732422
141,5,0.9,4,200,0.7081405140390405
142,5,0.9,4,300,0.7843542086417746
143,5,0.9,4,400,1.063331295814828
144,5,0.9,4,500,1.055060193064535
145,5,0.9,4,600,1.0051580183698388
146,5,0.9,4,700,0.959315566743237
147,5,0.9,4,800,0.8924412457708121
148,5,0.9,4,900,0.9491701353730246
149,5,0.9,4,1000,0.9452883868617589
150,5,0.9,4,2000,1.106522978784462
151,5,0.9,4,3000,0.906780081034941
152,5,0.9,4,4000,0.7794900393143257
153,5,0.9,4,5000,0.734687113762605
154,5,0.9,4,6000,0.745631763302805
155,5,0.9,4,7000,0.8276005770707697
156,5,0.9,4,8000,0.8587576710403293
157,5,0.9,4,9000,0.8570607880504555
158,5,0.9,4,10000,0.8570201784619641
159,5,0.9,4,20000,1.0542753490245658
160,5,0.9,4,30000,0.9676638579134925
161,5,0.9,4,40000,0.941960047676795
162,5,0.9,4,50000,0.9744453641333274
163,5,0.9,4,60000,0.9397546107532274
164,5,0.9,4,70000,0.9454519166969915
165,5,0.9,4,80000,0.9714038399656665
166,5,0.9,4,90000,0.9725087464457229
167,5,0.9,4,100000,0.9722501631192636
168,6,0.9,4,100,1.7691129263433227
169,6,0.9,4,200,1.758013112465311
170,6,0.9,4,300,1.9538236640480515
171,6,0.9,4,400,1.7914845797165544
172,6,0.9,4,500,1.6831873279563838
173,6,0.9,4,600,1.5026458672494993
