rho,number of servers,number of customers,mean waiting time
0.7,1,100,2.127210978721191
0.7,1,200,2.2243286822437485
0.7,1,300,2.247740431647153
0.7,1,400,2.2777148883092493
0.7,1,500,2.294906893742524
0.7,1,600,2.318551965225369
0.7,1,700,2.3162567404770575
0.7,1,800,2.3126335301682044
0.7,1,900,2.3296633935213067
0.7,1,1000,2.331950780581978
0.7,1,2000,2.33620857558416
0.7,1,3000,2.3219087855406406
0.7,1,4000,2.3114225669253954
0.7,1,5000,2.3104157650503696
0.7,1,6000,2.3159693838339392
0.7,1,7000,2.322330232694856
0.7,1,8000,2.3249167345326884
0.7,1,9000,2.324017168167455
0.7,1,10000,2.3240065751244288
0.7,1,20000,2.3279694744141675
0.7,1,30000,2.3307444304502134
0.7,1,40000,2.330210634316056
0.7,1,50000,2.3308375023913936
0.7,1,60000,2.3300496996994933
0.7,1,70000,2.3299540818154214
0.7,1,80000,2.3300247106677925
0.7,1,90000,2.3321311668742752
0.7,1,100000,2.3318685693303594
0.7,2,100,0.8315269071384395
0.7,2,200,0.8634066727907634
0.7,2,300,0.8900399896066721
0.7,2,400,0.9145450039240947
0.7,2,500,0.9198013426435393
0.7,2,600,0.9289487830208223
0.7,2,700,0.9359222310482769
0.7,2,800,0.9426233676724434
0.7,2,900,0.945126336171205
0.7,2,1000,0.9489603073325232
0.7,2,2000,0.9577279211479146
0.7,2,3000,0.956883142998306
0.7,2,4000,0.9568559673113144
0.7,2,5000,0.9584873858513062
0.7,2,6000,0.9609455691640819
0.7,2,7000,0.9600937854283708
0.7,2,8000,0.960599420605951
0.7,2,9000,0.9608363697972201
0.7,2,10000,0.9582508790021752
0.7,2,20000,0.9594970037762771
0.7,2,30000,0.9596115950615748
0.7,2,40000,0.9605319940988662
0.7,2,50000,0.9597125017342273
0.7,2,60000,0.9601592183042046
0.7,2,70000,0.9602643744104064
0.7,2,80000,0.961004699165733
0.7,2,90000,0.961039827817596
0.7,2,100000,0.960857870120751
0.7,4,100,0.30873878546436356
0.7,4,200,0.33808625400668424
0.7,4,300,0.3398244390579817
0.7,4,400,0.3395814757683543
0.7,4,500,0.33805860339834687
0.7,4,600,0.3401823698778794
0.7,4,700,0.3439583484125849
0.7,4,800,0.34568579713411557
0.7,4,900,0.34593282582881
0.7,4,1000,0.3452485941110987
0.7,4,2000,0.3525574690953682
0.7,4,3000,0.3528251407194253
0.7,4,4000,0.35255009271949755
0.7,4,5000,0.351589169746821
0.7,4,6000,0.3515503585269236
