,run,rho,number of servers,number of customers,mean waiting time
0,0,0.9,1,100,3.389155437583739
1,0,0.9,1,200,15.107253798240754
2,0,0.9,1,300,11.665383823166222
3,0,0.9,1,400,12.614582280702853
4,0,0.9,1,500,12.36262254394241
5,0,0.9,1,600,16.99135876278827
6,0,0.9,1,700,16.327430501211843
7,0,0.9,1,800,15.866887895783599
8,0,0.9,1,900,17.08905899625318
9,0,0.9,1,1000,23.41419189339518
10,0,0.9,1,2000,21.8960608036977
11,0,0.9,1,3000,26.263248467550195
12,0,0.9,1,4000,30.512762262079477
13,0,0.9,1,5000,30.012393390940556
14,0,0.9,1,6000,31.176636930811995
15,0,0.9,1,7000,41.387777816311264
16,0,0.9,1,8000,38.13627671938028
17,0,0.9,1,9000,36.15171011241791
18,0,0.9,1,10000,34.12387160197352
19,0,0.9,1,20000,29.46149850178682
20,0,0.9,1,30000,30.80548355564459
21,0,0.9,1,40000,29.235828682722843
22,0,0.9,1,50000,29.0150501470599
23,0,0.9,1,60000,30.056616191099053
24,0,0.9,1,70000,29.030945911557712
25,0,0.9,1,80000,28.495321508675623
26,0,0.9,1,90000,29.295290699361168
27,0,0.9,1,100000,29.22108372983717
28,1,0.9,1,100,2.2103850543307546
29,1,0.9,1,200,6.074361428258538
30,1,0.9,1,300,17.59411087514131
31,1,0.9,1,400,31.57682731609668
32,1,0.9,1,500,39.944834566356015
33,1,0.9,1,600,38.970966852797936
34,1,0.9,1,700,39.431696318111925
35,1,0.9,1,800,40.25207322588916
36,1,0.9,1,900,36.54976293569358
37,1,0.9,1,1000,35.89980173382175
38,1,0.9,1,2000,46.55149015482791
39,1,0.9,1,3000,71.76272295307777
40,1,0.9,1,4000,58.98835975664985
41,1,0.9,1,5000,59.18105638025205
42,1,0.9,1,6000,90.40286929244488
43,1,0.9,1,7000,85.07902117730345
44,1,0.9,1,8000,76.58191658693016
45,1,0.9,1,9000,69.9760662155081
46,1,0.9,1,10000,65.83356172955685
47,1,0.9,1,20000,46.843804688659354
48,1,0.9,1,30000,43.10203674997606
49,1,0.9,1,40000,37.48616398715431
50,1,0.9,1,50000,35.29724885296138
51,1,0.9,1,60000,35.29657810506279
52,1,0.9,1,70000,35.634231402490165
53,1,0.9,1,80000,35.692960759987194
54,1,0.9,1,90000,34.650638384627776
55,1,0.9,1,100000,33.72448576796238
56,2,0.9,1,100,3.978906407798326
57,2,0.9,1,200,4.45091730385905
58,2,0.9,1,300,4.34777505026318
59,2,0.9,1,400,8.964598520090082
60,2,0.9,1,500,9.333626571114937
61,2,0.9,1,600,9.665514908451405
62,2,0.9,1,700,11.123099863396988
63,2,0.9,1,800,10.411386734068447
64,2,0.9,1,900,10.636549606401365
65,2,0.9,1,1000,10.36932220468623
66,2,0.9,1,2000,23.038229323713953
67,2,0.9,1,3000,22.36238510299499
68,2,0.9,1,4000,31.645760150252794
69,2,0.9,1,5000,29.61391505333659
70,2,0.9,1,6000,30.74425983518658
71,2,0.9,1,7000,27.711007323205827
72,2,0.9,1,8000,28.903962129783867
73,2,0.9,1,9000,28.080165842156866
74,2,0.9,1,10000,26.997240308078407
75,2,0.9,1,20000,26.398569528203854
76,2,0.9,1,30000,26.951066266176664
77,2,0.9,1,40000,26.72366495864992
78,2,0.9,1,50000,26.367002685339717
79,2,0.9,1,60000,26.701957411197345
80,2,0.9,1,70000,28.762897944141972
81,2,0.9,1,80000,29.315977054823247
82,2,0.9,1,90000,28.37628749095956
83,2,0.9,1,100000,28.229321243232672
84,3,0.9,1,100,6.233803104346066
85,3,0.9,1,200,16.022792929525608
86,3,0.9,1,300,40.73259397928083
87,3,0.9,1,400,53.36710178016856
88,3,0.9,1,500,58.03257843778859
89,3,0.9,1,600,61.58531329556819
90,3,0.9,1,700,63.05063883971379
91,3,0.9,1,800,59.79047582680165
92,3,0.9,1,900,56.72412592947942
93,3,0.9,1,1000,51.738474003491085
94,3,0.9,1,2000,32.321255738360726
95,3,0.9,1,3000,39.07608107250736
96,3,0.9,1,4000,34.870117394887934
97,3,0.9,1,5000,31.208350544303247
98,3,0.9,1,6000,32.96038357991636
99,3,0.9,1,7000,30.225381154030863
100,3,0.9,1,8000,31.153520165585622
101,3,0.9,1,9000,32.634350493628254
102,3,0.9,1,10000,36.35516934815122
103,3,0.9,1,20000,38.95653320948814
104,3,0.9,1,30000,37.20284679476872
105,3,0.9,1,40000,34.47202961643923
106,3,0.9,1,50000,35.66958302301053
107,3,0.9,1,60000,35.95267082329176
108,3,0.9,1,70000,33.94398091086217
109,3,0.9,1,80000,34.46200465494288
110,3,0.9,1,90000,36.13007098792897
111,3,0.9,1,100000,34.70527078346826
112,4,0.9,1,100,4.660831557600337
113,4,0.9,1,200,6.743331610252809
114,4,0.9,1,300,6.797879809104
115,4,0.9,1,400,8.648315650769348
116,4,0.9,1,500,8.545023606123326
117,4,0.9,1,600,9.202678945467337
118,4,0.9,1,700,9.361616008894396
119,4,0.9,1,800,11.29106154222197
120,4,0.9,1,900,11.045395560846616
121,4,0.9,1,1000,10.24714760339365
122,4,0.9,1,2000,18.744548439146328
123,4,0.9,1,3000,29.545922475242925
124,4,0.9,1,4000,31.881461916366497
125,4,0.9,1,5000,36.34308834154656
126,4,0.9,1,6000,35.05802841395561
127,4,0.9,1,7000,35.36709099743526
128,4,0.9,1,8000,33.4624613831617
129,4,0.9,1,9000,31.031273001357206
130,4,0.9,1,10000,29.869244815551653
131,4,0.9,1,20000,25.116755673207184
132,4,0.9,1,30000,30.233850545486497
133,4,0.9,1,40000,27.95560671245039
134,4,0.9,1,50000,27.360526504988805
135,4,0.9,1,60000,26.820048638359594
136,4,0.9,1,70000,26.506231337502076
137,4,0.9,1,80000,27.36514310600423
138,4,0.9,1,90000,30.71634280415238
139,4,0.9,1,100000,29.503116554250216
140,5,0.9,1,100,9.149202874225328
141,5,0.9,1,200,6.47497621575543
142,5,0.9,1,300,8.348032891801918
143,5,0.9,1,400,12.474848272870258
144,5,0.9,1,500,18.518620673335253
145,5,0.9,1,600,16.592234635382724
146,5,0.9,1,700,14.82469054259745
147,5,0.9,1,800,14.212582165145276
148,5,0.9,1,900,13.165347790609278
149,5,0.9,1,1000,12.143932418815302
150,5,0.9,1,2000,13.571378893166406
151,5,0.9,1,3000,17.406044600554054
152,5,0.9,1,4000,16.316452120974795
153,5,0.9,1,5000,16.854365211120985
154,5,0.9,1,6000,17.055711601496316
155,5,0.9,1,7000,23.669533247022997
156,5,0.9,1,8000,27.55022249964399
157,5,0.9,1,9000,25.644120382813856
158,5,0.9,1,10000,26.875747643619118
159,5,0.9,1,20000,27.469879571387235
160,5,0.9,1,30000,29.352027774068254
161,5,0.9,1,40000,29.410540257306526
162,5,0.9,1,50000,28.510244289545085
163,5,0.9,1,60000,28.218614002119477
164,5,0.9,1,70000,27.097175765359776
165,5,0.9,1,80000,27.395413841198785
166,5,0.9,1,90000,28.291629815162548
167,5,0.9,1,100000,27.990956565531803
168,6,0.9,1,100,2.4491876700700934
169,6,0.9,1,200,2.6489950392419486
170,6,0.9,1,300,3.626998559362057
171,6,0.9,1,400,3.8709604608753074
172,6,0.9,1,500,4.611860627281049
173,6,0.9,1,600,5.977656070972693
174,6,0.9,1,700,11.066920330477915
175,6,0.9,1,800,13.150534199971817
176,6,0.9,1,900,20.296382787914574
177,6,0.9,1,1000,23.75558030871374
178,6,0.9,1,2000,22.39581478603469
179,6,0.9,1,3000,26.284902952715004
180,6,0.9,1,4000,23.633781276621214
181,6,0.9,1,5000,21.875492814271098
182,6,0.9,1,6000,21.54771623859765
183,6,0.9,1,7000,20.304218398644796
184,6,0.9,1,8000,21.08119480156263
185,6,0.9,1,9000,21.073754130925295
186,6,0.9,1,10000,20.359398196132886
187,6,0.9,1,20000,21.93361956486593
188,6,0.9,1,30000,21.45868509593378
189,6,0.9,1,40000,23.193507666507276
190,6,0.9,1,50000,23.49517025592533
191,6,0.9,1,60000,24.91950534132517
192,6,0.9,1,70000,25.883421357324355
193,6,0.9,1,80000,26.8921360072795
194,6,0.9,1,90000,31.201151450938017
195,6,0.9,1,100000,30.341026439461064
196,7,0.9,1,100,1.7478054139559698
197,7,0.9,1,200,9.03855520464917
198,7,0.9,1,300,9.355020236847503
199,7,0.9,1,400,7.90352474077568
200,7,0.9,1,500,8.17911704615969
201,7,0.9,1,600,10.321219563096983
202,7,0.9,1,700,9.479461422120728
203,7,0.9,1,800,10.98264177140778
204,7,0.9,1,900,14.673516734510963
205,7,0.9,1,1000,15.156338204238097
206,7,0.9,1,2000,29.422149521509194
207,7,0.9,1,3000,30.33003562174691
208,7,0.9,1,4000,26.874308201430548
209,7,0.9,1,5000,31.991930857235797
210,7,0.9,1,6000,29.961694859592107
211,7,0.9,1,7000,28.264063625108747
212,7,0.9,1,8000,28.871389744155508
213,7,0.9,1,9000,29.19166858297783
214,7,0.9,1,10000,29.809352254721166
215,7,0.9,1,20000,29.84380000988897
216,7,0.9,1,30000,27.466318880229103
217,7,0.9,1,40000,25.391569964665834
218,7,0.9,1,50000,28.50662212884279
219,7,0.9,1,60000,27.804687263348193
220,7,0.9,1,70000,27.20086917432737
221,7,0.9,1,80000,28.529457040917176
222,7,0.9,1,90000,29.08330417882768
223,7,0.9,1,100000,28.62660433562738
224,8,0.9,1,100,4.388738710300553
225,8,0.9,1,200,6.635159963743117
226,8,0.9,1,300,11.641890835555708
227,8,0.9,1,400,16.65042648844211
228,8,0.9,1,500,24.589847647679054
229,8,0.9,1,600,23.34006058553143
230,8,0.9,1,700,34.53240976209052
231,8,0.9,1,800,48.81429614557541
232,8,0.9,1,900,61.72789766871243
233,8,0.9,1,1000,71.54939384410974
234,8,0.9,1,2000,56.17870542145619
235,8,0.9,1,3000,41.84139509411624
236,8,0.9,1,4000,46.310733378332
237,8,0.9,1,5000,40.15533224314687
238,8,0.9,1,6000,40.00700634117864
239,8,0.9,1,7000,38.07044034705758
240,8,0.9,1,8000,34.75816784787241
241,8,0.9,1,9000,34.297820694441775
