,run,rho,number of servers,number of customers,mean waiting time
0,0,0.9,1,100,2.9938059893815483
1,0,0.9,1,200,8.480125876576134
2,0,0.9,1,300,10.155281929440383
3,0,0.9,1,400,11.459907494853521
4,0,0.9,1,500,11.805050769423891
5,0,0.9,1,600,10.436805367011672
6,0,0.9,1,700,10.777020967108507
7,0,0.9,1,800,10.803030049825404
8,0,0.9,1,900,10.36427451219752
9,0,0.9,1,1000,9.911222483010373
10,0,0.9,1,2000,12.789245417128202
11,0,0.9,1,3000,18.038841217689775
12,0,0.9,1,4000,18.00639975906951
13,0,0.9,1,5000,17.02458360651908
14,0,0.9,1,6000,17.576837677873343
15,0,0.9,1,7000,16.507450937518115
16,0,0.9,1,8000,16.19977894039172
17,0,0.9,1,9000,16.048495911029466
18,0,0.9,1,10000,15.777214182212402
19,0,0.9,1,20000,15.635969155923853
20,0,0.9,1,30000,15.635969155923853
21,0,0.9,1,40000,15.635969155923853
22,0,0.9,1,50000,15.635969155923853
23,0,0.9,1,60000,15.635969155923853
24,0,0.9,1,70000,15.635969155923853
25,0,0.9,1,80000,15.635969155923853
26,0,0.9,1,90000,15.635969155923853
27,0,0.9,1,100000,15.635969155923853
28,1,0.9,1,100,5.612321722646486
29,1,0.9,1,200,6.395907153710686
30,1,0.9,1,300,6.468132674522141
31,1,0.9,1,400,5.901579263318743
32,1,0.9,1,500,5.6964853616191835
33,1,0.9,1,600,6.896532143375135
34,1,0.9,1,700,7.874223300807733
35,1,0.9,1,800,8.400599761695712
36,1,0.9,1,900,8.052291803862731
37,1,0.9,1,1000,8.365844512737576
38,1,0.9,1,2000,17.46204470879105
39,1,0.9,1,3000,18.171658591517634
40,1,0.9,1,4000,16.249302133542116
41,1,0.9,1,5000,14.104046456235883
42,1,0.9,1,6000,13.33189014664929
43,1,0.9,1,7000,17.437107141535613
44,1,0.9,1,8000,18.861505047605693
45,1,0.9,1,9000,18.897548687449607
46,1,0.9,1,10000,19.234920486294957
47,1,0.9,1,20000,19.543735623117644
48,1,0.9,1,30000,19.543735623117644
49,1,0.9,1,40000,19.543735623117644
50,1,0.9,1,50000,19.543735623117644
51,1,0.9,1,60000,19.543735623117644
52,1,0.9,1,70000,19.543735623117644
53,1,0.9,1,80000,19.543735623117644
54,1,0.9,1,90000,19.543735623117644
55,1,0.9,1,100000,19.543735623117644
56,2,0.9,1,100,9.79059192663062
57,2,0.9,1,200,22.32884118801205
58,2,0.9,1,300,18.525863147444568
59,2,0.9,1,400,16.84389840389056
60,2,0.9,1,500,15.238240726376706
61,2,0.9,1,600,13.55574911617492
62,2,0.9,1,700,14.628120067219962
63,2,0.9,1,800,16.387038811505587
64,2,0.9,1,900,15.246696185135793
65,2,0.9,1,1000,14.84676114424556
66,2,0.9,1,2000,18.687050942499
67,2,0.9,1,3000,17.143153604438062
68,2,0.9,1,4000,16.602532572279785
69,2,0.9,1,5000,15.47014719769522
70,2,0.9,1,6000,14.944752873925069
71,2,0.9,1,7000,14.581873529240863
72,2,0.9,1,8000,14.951701961878854
73,2,0.9,1,9000,15.40056374071281
74,2,0.9,1,10000,17.761859739048294
75,2,0.9,1,20000,16.996783432595542
76,2,0.9,1,30000,16.996783432595542
77,2,0.9,1,40000,16.996783432595542
78,2,0.9,1,50000,16.996783432595542
79,2,0.9,1,60000,16.996783432595542
80,2,0.9,1,70000,16.996783432595542
81,2,0.9,1,80000,16.996783432595542
82,2,0.9,1,90000,16.996783432595542
83,2,0.9,1,100000,16.996783432595542
84,3,0.9,1,100,7.256443271379223
85,3,0.9,1,200,8.738252698810514
86,3,0.9,1,300,8.35539062545585
87,3,0.9,1,400,9.857501325945016
88,3,0.9,1,500,17.043162404364104
89,3,0.9,1,600,23.343888258313655
90,3,0.9,1,700,32.8061920188223
91,3,0.9,1,800,39.08018367176338
92,3,0.9,1,900,41.103204112854534
93,3,0.9,1,1000,37.16121254051369
94,3,0.9,1,2000,22.378474313251534
95,3,0.9,1,3000,20.259339397977367
96,3,0.9,1,4000,17.702490452799207
97,3,0.9,1,5000,16.517716226921433
98,3,0.9,1,6000,15.640626625844092
99,3,0.9,1,7000,19.738518961546436
100,3,0.9,1,8000,20.468862464118356
101,3,0.9,1,9000,21.864566549790013
102,3,0.9,1,10000,21.181528368116282
103,3,0.9,1,20000,20.249580276016296
104,3,0.9,1,30000,20.249580276016296
105,3,0.9,1,40000,20.249580276016296
106,3,0.9,1,50000,20.249580276016296
107,3,0.9,1,60000,20.249580276016296
108,3,0.9,1,70000,20.249580276016296
109,3,0.9,1,80000,20.249580276016296
110,3,0.9,1,90000,20.249580276016296
111,3,0.9,1,100000,20.249580276016296
112,4,0.9,1,100,23.31297486959146
113,4,0.9,1,200,14.96101531390927
114,4,0.9,1,300,21.794399468231205
115,4,0.9,1,400,22.198570490852894
116,4,0.9,1,500,18.60994066126523
117,4,0.9,1,600,18.45719446544374
118,4,0.9,1,700,24.162381377597047
119,4,0.9,1,800,28.403869683472994
120,4,0.9,1,900,31.843918655397236
121,4,0.9,1,1000,32.42549997105026
122,4,0.9,1,2000,27.577473855874917
123,4,0.9,1,3000,23.280205637567857
124,4,0.9,1,4000,22.34141123531135
125,4,0.9,1,5000,19.449404451696378
126,4,0.9,1,6000,20.566527364038777
127,4,0.9,1,7000,18.574092325445577
128,4,0.9,1,8000,20.964354402687547
129,4,0.9,1,9000,21.745438729451987
130,4,0.9,1,10000,20.447206860858817
131,4,0.9,1,20000,19.811936928369427
132,4,0.9,1,30000,19.811936928369427
133,4,0.9,1,40000,19.811936928369427
134,4,0.9,1,50000,19.811936928369427
135,4,0.9,1,60000,19.811936928369427
136,4,0.9,1,70000,19.811936928369427
137,4,0.9,1,80000,19.811936928369427
138,4,0.9,1,90000,19.811936928369427
139,4,0.9,1,100000,19.811936928369427
140,5,0.9,1,100,9.500864527172643
141,5,0.9,1,200,10.437244666829924
142,5,0.9,1,300,10.352217642616942
143,5,0.9,1,400,10.831822856798262
144,5,0.9,1,500,10.144653762941443
145,5,0.9,1,600,10.729020398720031
146,5,0.9,1,700,11.043059821802805
147,5,0.9,1,800,11.323359960751322
148,5,0.9,1,900,10.627617882637383
149,5,0.9,1,1000,11.696674436543944
150,5,0.9,1,2000,11.568745241985424
151,5,0.9,1,3000,13.389957851752461
152,5,0.9,1,4000,18.701297152852796
153,5,0.9,1,5000,16.616013547548253
154,5,0.9,1,6000,18.49802268598661
155,5,0.9,1,7000,19.982303320282355
156,5,0.9,1,8000,18.95563415025505
157,5,0.9,1,9000,21.85833825141551
158,5,0.9,1,10000,21.688022776721244
159,5,0.9,1,20000,21.211728184663684
160,5,0.9,1,30000,21.211728184663684
161,5,0.9,1,40000,21.211728184663684
162,5,0.9,1,50000,21.211728184663684
163,5,0.9,1,60000,21.211728184663684
164,5,0.9,1,70000,21.211728184663684
165,5,0.9,1,80000,21.211728184663684
166,5,0.9,1,90000,21.211728184663684
167,5,0.9,1,100000,21.211728184663684
168,6,0.9,1,100,7.009118924659031
169,6,0.9,1,200,14.958796675030694
170,6,0.9,1,300,18.22399352305306
171,6,0.9,1,400,15.592442719132391
172,6,0.9,1,500,16.541377938546177
173,6,0.9,1,600,15.687039795839379
174,6,0.9,1,700,17.73515830880784
175,6,0.9,1,800,16.601980600519266
176,6,0.9,1,900,19.796217144904148
177,6,0.9,1,1000,25.68863400329914
178,6,0.9,1,2000,21.05903674876471
179,6,0.9,1,3000,21.60603490073789
180,6,0.9,1,4000,18.389097345867157
181,6,0.9,1,5000,19.04383340378682
182,6,0.9,1,6000,19.578093780171358
183,6,0.9,1,7000,18.423461997350504
184,6,0.9,1,8000,18.084724991808002
185,6,0.9,1,9000,19.812406938532114
186,6,0.9,1,10000,20.158831178619174
187,6,0.9,1,20000,19.352066553493753
188,6,0.9,1,30000,19.352066553493753
189,6,0.9,1,40000,19.352066553493753
190,6,0.9,1,50000,19.352066553493753
191,6,0.9,1,60000,19.352066553493753
192,6,0.9,1,70000,19.352066553493753
193,6,0.9,1,80000,19.352066553493753
194,6,0.9,1,90000,19.352066553493753
195,6,0.9,1,100000,19.352066553493753
196,7,0.9,1,100,13.151405181280326
197,7,0.9,1,200,9.90790868454082
198,7,0.9,1,300,11.258531272590139
199,7,0.9,1,400,18.165983296253682
200,7,0.9,1,500,20.488873118131743
201,7,0.9,1,600,25.966943774141438
202,7,0.9,1,700,26.89000762246078
203,7,0.9,1,800,25.851269752012502
204,7,0.9,1,900,24.014617172484076
205,7,0.9,1,1000,22.944384027010056
206,7,0.9,1,2000,26.407679460638363
207,7,0.9,1,3000,22.96889611547556
208,7,0.9,1,4000,21.201948718150568
209,7,0.9,1,5000,19.233938399751338
210,7,0.9,1,6000,20.202246159031418
211,7,0.9,1,7000,19.24208674333278
212,7,0.9,1,8000,18.860311860882653
213,7,0.9,1,9000,18.82799553479305
214,7,0.9,1,10000,18.781242118751745
215,7,0.9,1,20000,17.741089698198543
216,7,0.9,1,30000,17.741089698198543
217,7,0.9,1,40000,17.741089698198543
218,7,0.9,1,50000,17.741089698198543
219,7,0.9,1,60000,17.741089698198543
220,7,0.9,1,70000,17.741089698198543
221,7,0.9,1,80000,17.741089698198543
222,7,0.9,1,90000,17.741089698198543
223,7,0.9,1,100000,17.741089698198543
224,8,0.9,1,100,11.36289048104283
225,8,0.9,1,200,12.25163042854348
226,8,0.9,1,300,29.62525312358773
227,8,0.9,1,400,35.865485665603764
228,8,0.9,1,500,39.992067838250364
229,8,0.9,1,600,46.02664220334277
230,8,0.9,1,700,51.92156651352247
231,8,0.9,1,800,54.37497907498905
232,8,0.9,1,900,54.69038426006548
233,8,0.9,1,1000,49.98685294200919
234,8,0.9,1,2000,30.259198497901522
235,8,0.9,1,3000,24.047357271773713
236,8,0.9,1,4000,26.370526082289988
237,8,0.9,1,5000,26.251946034376243
238,8,0.9,1,6000,23.40281111995321
239,8,0.9,1,7000,22.987015525348784
240,8,0.9,1,8000,21.56947994768717
241,8,0.9,1,9000,20.451197310707688
242,8,0.9,1,10000,19.80622507518893
