,run,rho,number of servers,number of customers,mean waiting time
0,0,0.7,1,100,0.922800694015809
1,0,0.7,1,200,0.8770944079967957
2,0,0.7,1,300,1.0289699285962715
3,0,0.7,1,400,1.2287882127253216
4,0,0.7,1,500,1.141378579112397
5,0,0.7,1,600,1.2194247133090248
6,0,0.7,1,700,1.2529125760306026
7,0,0.7,1,800,1.3003788945989543
8,0,0.7,1,900,1.263952251849121
9,0,0.7,1,1000,1.3512437371866315
10,0,0.7,1,2000,1.505244390045981
11,0,0.7,1,3000,1.4867588861915932
12,0,0.7,1,4000,1.45509443304571
13,0,0.7,1,5000,1.641443133091231
14,0,0.7,1,6000,1.6843702844454784
15,0,0.7,1,7000,1.857395197307023
16,0,0.7,1,8000,1.956681758740016
17,0,0.7,1,9000,1.9504051675635476
18,0,0.7,1,10000,1.9957506137420706
19,0,0.7,1,20000,2.101885525251936
20,0,0.7,1,30000,2.3633152631482206
21,0,0.7,1,40000,2.3523612518891444
22,0,0.7,1,50000,2.3040940752118004
23,0,0.7,1,60000,2.2922934746938717
24,0,0.7,1,70000,2.3129353977706613
25,0,0.7,1,80000,2.290722599295573
26,0,0.7,1,90000,2.3162625514455204
27,0,0.7,1,100000,2.340197249111901
28,1,0.7,1,100,1.7372857706928844
29,1,0.7,1,200,1.2909664333384376
30,1,0.7,1,300,1.9755866770278665
31,1,0.7,1,400,2.0723245649775808
32,1,0.7,1,500,1.9872890513953547
33,1,0.7,1,600,1.7548007525927622
34,1,0.7,1,700,1.6214673893134601
35,1,0.7,1,800,1.8323668642655306
36,1,0.7,1,900,1.8179763627871868
37,1,0.7,1,1000,1.7925203734622466
38,1,0.7,1,2000,2.204976933816436
39,1,0.7,1,3000,2.1357799709846463
40,1,0.7,1,4000,2.140014012126773
41,1,0.7,1,5000,2.09910567244925
42,1,0.7,1,6000,1.9843753634173882
43,1,0.7,1,7000,1.9628652116778555
44,1,0.7,1,8000,1.9673403119903154
45,1,0.7,1,9000,2.049228938777554
46,1,0.7,1,10000,2.229835871056026
47,1,0.7,1,20000,2.3483881840167053
48,1,0.7,1,30000,2.321207821540547
49,1,0.7,1,40000,2.3785693900985367
50,1,0.7,1,50000,2.317677628386853
51,1,0.7,1,60000,2.264997645220562
52,1,0.7,1,70000,2.2364414121849516
53,1,0.7,1,80000,2.2543897500273067
54,1,0.7,1,90000,2.2806350529018533
55,1,0.7,1,100000,2.2958086988255055
56,2,0.7,1,100,2.550934504416573
57,2,0.7,1,200,2.281790965030788
58,2,0.7,1,300,2.239017697275491
59,2,0.7,1,400,2.2423183051682996
60,2,0.7,1,500,2.0615415247696194
61,2,0.7,1,600,1.9162512324697014
62,2,0.7,1,700,1.7886675181862854
63,2,0.7,1,800,1.7500287793837652
64,2,0.7,1,900,1.7354807750198962
65,2,0.7,1,1000,1.7238621632703102
66,2,0.7,1,2000,1.8576448304294408
67,2,0.7,1,3000,1.89111684285848
68,2,0.7,1,4000,1.9101166928701574
69,2,0.7,1,5000,2.326543732680776
70,2,0.7,1,6000,2.4556314927479774
71,2,0.7,1,7000,2.4314020382680486
72,2,0.7,1,8000,2.423035309174398
73,2,0.7,1,9000,2.4132235760900067
74,2,0.7,1,10000,2.4167522962208148
75,2,0.7,1,20000,2.4157605368520976
76,2,0.7,1,30000,2.423435001285695
77,2,0.7,1,40000,2.474454851250581
78,2,0.7,1,50000,2.4534912764170262
79,2,0.7,1,60000,2.4630228777107037
80,2,0.7,1,70000,2.421149497558161
81,2,0.7,1,80000,2.4200768720872556
82,2,0.7,1,90000,2.408577003035444
83,2,0.7,1,100000,2.4024759257678907
84,3,0.7,1,100,0.7815011214706635
85,3,0.7,1,200,1.7484312124033294
86,3,0.7,1,300,2.1814857880712872
87,3,0.7,1,400,2.5053753572265394
88,3,0.7,1,500,2.4005775907174938
89,3,0.7,1,600,3.833697038231162
