,run,rho,number of servers,number of customers,mean waiting time
0,0,0.9,1,100,1.1383524713597237
1,0,0.9,1,200,1.236742489152718
2,0,0.9,1,300,1.2068278492508726
3,0,0.9,1,400,1.5760966885074197
4,0,0.9,1,500,1.8737996689506884
5,0,0.9,1,600,1.8589233709157669
6,0,0.9,1,700,1.738809132308885
7,0,0.9,1,800,1.8427955909786145
8,0,0.9,1,900,1.7752041040622801
9,0,0.9,1,1000,1.7536407223428332
10,0,0.9,1,2000,2.162970868697694
11,0,0.9,1,3000,2.319471658566725
12,0,0.9,1,4000,2.5318496630247735
13,0,0.9,1,5000,2.523248731620775
14,0,0.9,1,6000,2.5520342865849033
15,0,0.9,1,7000,2.851470481211641
16,0,0.9,1,8000,2.9611869608448695
17,0,0.9,1,9000,2.9197097752735823
18,0,0.9,1,10000,2.8342074692020005
19,0,0.9,1,20000,3.4974437465064487
20,0,0.9,1,30000,3.1867908073175597
21,0,0.9,1,40000,3.2782375833220576
22,0,0.9,1,50000,3.3825453655081295
23,0,0.9,1,60000,3.4288618370445514
24,0,0.9,1,70000,3.358052018767898
25,0,0.9,1,80000,3.292036516031065
26,0,0.9,1,90000,3.2795890479080287
27,0,0.9,1,100000,3.364713314231439
28,1,0.9,1,100,1.6120938031106369
29,1,0.9,1,200,1.4281943281109242
30,1,0.9,1,300,1.4020864414743803
31,1,0.9,1,400,1.5880977028872802
32,1,0.9,1,500,1.8086577818545453
33,1,0.9,1,600,1.8369623068232894
34,1,0.9,1,700,1.8207024360257273
35,1,0.9,1,800,1.8736715562497628
36,1,0.9,1,900,2.0136078748198534
37,1,0.9,1,1000,2.0842826931753478
38,1,0.9,1,2000,2.953814140433801
39,1,0.9,1,3000,3.4049353754004694
40,1,0.9,1,4000,3.3095086076912996
41,1,0.9,1,5000,5.262515945889751
42,1,0.9,1,6000,4.7234706047647945
43,1,0.9,1,7000,4.530092353002753
44,1,0.9,1,8000,4.258872488333276
45,1,0.9,1,9000,4.0430381686536245
46,1,0.9,1,10000,4.0522062910949055
47,1,0.9,1,20000,4.0832874814331905
48,1,0.9,1,30000,3.838283259380666
49,1,0.9,1,40000,3.7227083769220677
50,1,0.9,1,50000,3.5297457046950824
51,1,0.9,1,60000,3.4683118198761855
52,1,0.9,1,70000,3.594231873364312
53,1,0.9,1,80000,3.638894512136552
54,1,0.9,1,90000,3.5721465550072877
55,1,0.9,1,100000,3.500003678347988
56,2,0.9,1,100,1.7152357288391658
57,2,0.9,1,200,1.7282406894147087
58,2,0.9,1,300,1.508947854021701
59,2,0.9,1,400,1.622328481726417
60,2,0.9,1,500,1.5741149724442485
61,2,0.9,1,600,1.5595714653000996
62,2,0.9,1,700,1.5815622578878339
63,2,0.9,1,800,1.7754985522652544
64,2,0.9,1,900,1.8988263307379758
65,2,0.9,1,1000,2.5711494524174943
66,2,0.9,1,2000,2.6950297621346637
67,2,0.9,1,3000,3.449372043916339
68,2,0.9,1,4000,3.8251040346436223
69,2,0.9,1,5000,3.7601354146337065
70,2,0.9,1,6000,3.5260934640549166
71,2,0.9,1,7000,3.320822375458906
72,2,0.9,1,8000,3.2699349802258757
73,2,0.9,1,9000,3.233754419805652
74,2,0.9,1,10000,3.103202547912315
75,2,0.9,1,20000,3.1331718399171784
76,2,0.9,1,30000,3.0177572547317455
77,2,0.9,1,40000,3.050387778308273
78,2,0.9,1,50000,2.9725540526516503
79,2,0.9,1,60000,3.024485091264814
80,2,0.9,1,70000,3.0751644860422513
81,2,0.9,1,80000,3.140018880009021
82,2,0.9,1,90000,3.1403512499058333
83,2,0.9,1,100000,3.105886477870519
84,3,0.9,1,100,1.8480161730786555
85,3,0.9,1,200,1.4876592530023456
86,3,0.9,1,300,1.9403523981210264
87,3,0.9,1,400,2.026574550436852
88,3,0.9,1,500,2.3431676253587255
89,3,0.9,1,600,2.2256463736772076
90,3,0.9,1,700,2.1531921689867555
91,3,0.9,1,800,2.2384029641951675
92,3,0.9,1,900,2.2849876855043525
93,3,0.9,1,1000,2.283649750358676
94,3,0.9,1,2000,3.480963789850124
95,3,0.9,1,3000,3.6006072978338173
96,3,0.9,1,4000,3.589344155916884
97,3,0.9,1,5000,3.665241240863199
98,3,0.9,1,6000,3.7033769359954567
99,3,0.9,1,7000,3.498106567816897
100,3,0.9,1,8000,3.461326924157891
101,3,0.9,1,9000,3.435439069599235
102,3,0.9,1,10000,3.418464984396813
103,3,0.9,1,20000,3.2478141547659845
104,3,0.9,1,30000,3.0399131954700773
105,3,0.9,1,40000,3.035224887837468
106,3,0.9,1,50000,3.1074817138713375
107,3,0.9,1,60000,3.12350931496759
108,3,0.9,1,70000,3.1366924653569535
109,3,0.9,1,80000,3.1206974082715075
110,3,0.9,1,90000,3.1404868371662826
111,3,0.9,1,100000,3.138423772487534
112,4,0.9,1,100,2.0917787224747304
113,4,0.9,1,200,3.7919288588037414
114,4,0.9,1,300,3.540412881121497
115,4,0.9,1,400,3.3603465792370653
116,4,0.9,1,500,2.902038590065583
117,4,0.9,1,600,2.8112615419181224
118,4,0.9,1,700,2.7555116405180065
119,4,0.9,1,800,2.524626881066469
120,4,0.9,1,900,2.4264841633568874
121,4,0.9,1,1000,2.33732129016778
122,4,0.9,1,2000,2.2280720678541552
123,4,0.9,1,3000,2.4283360095182114
124,4,0.9,1,4000,3.365623413978342
125,4,0.9,1,5000,3.2716939965666154
126,4,0.9,1,6000,3.1704061610634175
