rho,number of servers,number of customers,mean waiting time
0.7,1,100,1.4563177000348473
0.7,1,200,1.1511831965918191
0.7,1,300,0.990673067754839
0.7,1,400,0.8864627786213873
0.7,1,500,0.7895217349740807
0.7,1,600,0.718587379668326
0.7,1,700,0.6693847570708168
0.7,1,800,0.6083976221788825
0.7,1,900,0.5864689417971686
0.7,1,1000,0.560747086101765
0.7,1,2000,0.40556661244758
0.7,1,3000,0.3275993986779697
0.7,1,4000,0.28249700628688373
0.7,1,5000,0.24874230341486384
0.7,1,6000,0.21966200047062448
0.7,1,7000,0.20663366390388657
0.7,1,8000,0.1886016500796329
0.7,1,9000,0.17675603845156548
0.7,1,10000,0.16705320834698745
0.7,1,20000,0.12721558374664993
0.7,1,30000,0.10292482200899704
0.7,1,40000,0.09120569565993557
0.7,1,50000,0.08052210547669209
0.7,1,60000,0.07274470566411136
0.7,1,70000,0.06887239253146041
0.7,1,80000,0.06370198617550935
0.7,1,90000,0.05994803293775004
0.7,1,100000,0.05532826968538581
0.7,2,100,0.7664064776963649
0.7,2,200,0.5861155185690291
0.7,2,300,0.46852586790397865
0.7,2,400,0.42040998138260505
0.7,2,500,0.38020365772239334
0.7,2,600,0.3642561237502901
0.7,2,700,0.34681255981822023
0.7,2,800,0.33776694608532104
0.7,2,900,0.31884595192394677
0.7,2,1000,0.29998149934292373
0.7,2,2000,0.21666277182789287
0.7,2,3000,0.17079937713295157
0.7,2,4000,0.14659826840388995
0.7,2,5000,0.12998057662284615
0.7,2,6000,0.1168529113523136
0.7,2,7000,0.10676048379898607
0.7,2,8000,0.10214540649818535
0.7,2,9000,0.09734397132756446
0.7,2,10000,0.09027417731666532
0.7,2,20000,0.06211364803625901
0.7,2,30000,0.050477851481445506
0.7,2,40000,0.04536091422129027
0.7,2,50000,0.040436741309303914
0.7,2,60000,0.03808269431324339
0.7,2,70000,0.03459165840183091
0.7,2,80000,0.03249769319086997
0.7,2,90000,0.030594082147056924
0.7,2,100000,0.029434339089394884
0.7,4,100,0.3048358549011277
0.7,4,200,0.2371886874889469
0.7,4,300,0.19920460615950025
0.7,4,400,0.1745513222015963
0.7,4,500,0.1519666669328926
0.7,4,600,0.14291276441291967
0.7,4,700,0.14515029807434776
0.7,4,800,0.13673531869643013
0.7,4,900,0.12765409186056764
0.7,4,1000,0.12384418233827751
0.7,4,2000,0.09086274608324188
0.7,4,3000,0.07404783105810732
0.7,4,4000,0.06203087119231145
0.7,4,5000,0.05670803332433186
0.7,4,6000,0.051012926785367216
0.7,4,7000,0.04787708940164326
0.7,4,8000,0.0450000334382268
0.7,4,9000,0.04287976243726848
0.7,4,10000,0.040394711338700734
0.7,4,20000,0.028170642538498828
